ojibwe	english	speaker	fst_readings
Mii 'i zhigwa gii-pakwaabiwaad igiweg animoonsag.	The puppies' eyes are now open.	es	"[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': ""'i"", 'fst_analyses': [""'i+PRONDem+NI+Sg""]}, {'word_form': 'zhigwa', 'fst_analyses': ['zhigwa+ADVTmp']}, {'word_form': 'gii-pakwaabiwaad', 'fst_analyses': ['PVTense/gii+bakwaabi+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': 'igiweg', 'fst_analyses': ['igiweg+PRONDem+NA+ProxPl']}, {'word_form': 'animoonsag', 'fst_analyses': ['animoons+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}]"
Apane naa ani-bishkotaagwad iwe ishkodewidaabaan omaa gaa-pimibidemagak.	The sound of the train that went by here faded away.	es	[{'word_form': 'apane', 'fst_analyses': ['apane+ADVTmp']}, {'word_form': 'naa', 'fst_analyses': ['naa+PCEmph']}, {'word_form': 'ani-bishkotaagwad', 'fst_analyses': ['PVDir/ani+bishkotaagwad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'iwe', 'fst_analyses': ['iwe+PRONDem+NI+Sg']}, {'word_form': 'ishkodewidaabaan', 'fst_analyses': ['ishkodewidaabaan+NA+ProxSg', 'ishkodewidaabaan+NI+Sg']}, {'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': 'gaa-pimibidemagak', 'fst_analyses': ['ChCnj+PVTense/gii+bimibide+VII+Aug/magad+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+PVTense/gii+bimibide+VII+Aug/magad+VII+Cnj+Pos+Neu+0SgSubj', 'PVTense/gii+bimibide+VII+Aug/magad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]
Mii 'iw gii-oniijaanisid awe gidayinaan. Zhaangaso gii-ayaaw...  ogii-ayaawaan iniw animoonsan.	Our pet dog gave birth. She had nine puppies.	es	"[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': ""'iw"", 'fst_analyses': [""'iw+PRONDem+NI+Sg""]}, {'word_form': 'gii-oniijaanisid', 'fst_analyses': ['PVTense/gii+oniijaanisi+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'gidayinaan', 'fst_analyses': ['day+NAD+ProxSg+InclPoss']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'zhaangaso', 'fst_analyses': ['zhaangaso+NUM']}, {'word_form': 'gii-ayaaw', 'fst_analyses': ['PVTense/gii+ayaaw+VTA+Imp+Sim+2SgSubj+3PlProxObj', 'PVTense/gii+ayaaw+VTA+Imp+Sim+2SgSubj+3SgProxObj']}, {'word_form': '...', 'fst_analyses': []}, {'word_form': 'ogii-ayaawaan', 'fst_analyses': ['PVTense/gii+ayaaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVTense/gii+ayaaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NA+ObvPl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NI+Pl']}, {'word_form': 'animoonsan', 'fst_analyses': ['animoons+NA+ObvSg', 'animoons+NA+ObvPl']}, {'word_form': '.', 'fst_analyses': []}]"
Gego babaamenimaaken igiweg animoonsag. Aapiji gizhaawaso awe weniijaanisid.	Don't bother those pups. The mother (= the one who has them as young) is very protective.	es	[{'word_form': 'gego', 'fst_analyses': ['gego+ADVNeg']}, {'word_form': 'babaamenimaaken', 'fst_analyses': ['babaamenim+VTA+Imp+Prb+2SgSubj+3SgProxObj', 'babaamenim+VTA+Imp+Prb+2SgSubj+3PlProxObj']}, {'word_form': 'igiweg', 'fst_analyses': ['igiweg+PRONDem+NA+ProxPl']}, {'word_form': 'animoonsag', 'fst_analyses': ['animoons+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'aapiji', 'fst_analyses': ['aapiji+ADVDeg']}, {'word_form': 'gizhaawaso', 'fst_analyses': ['gizhaawaso+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'weniijaanisid', 'fst_analyses': ['ChCnj+oniijaanisi+VAI+Cnj+Pos+Neu+3SgProxSubj', 'oniijaanisi+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]
Aandi enaawanaad asinii'.	Where is s/he hauling the rocks to?	nj	"[{'word_form': 'aandi', 'fst_analyses': ['aandi+ADVInter']}, {'word_form': 'enaawanaad', 'fst_analyses': ['ChCnj+inaawazh+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj', 'ChCnj+inaawazh+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': ""asinii'"", 'fst_analyses': ['asin+NA+ObvPl']}, {'word_form': '.', 'fst_analyses': []}]"
Manginaagozi mikwam gaa-waasishing minisaabikong.	There is a big shining pile of ice on the reef.	nj	[{'word_form': 'manginaagozi', 'fst_analyses': ['manginaagozi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'mikwam', 'fst_analyses': ['mikwam+NA+ProxSg']}, {'word_form': 'gaa-waasishing', 'fst_analyses': []}, {'word_form': 'minisaabikong', 'fst_analyses': ['minisaabik+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]
Gichi-gezika gwekibide iwe bemiseg ishpiming.	The plane made a quick turn around.	es	[{'word_form': 'gichi-gezika', 'fst_analyses': ['PVLex/gichi+gezika+ADVTmp']}, {'word_form': 'gwekibide', 'fst_analyses': ['gwekibide+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'iwe', 'fst_analyses': ['iwe+PRONDem+NI+Sg']}, {'word_form': 'bemiseg', 'fst_analyses': ['ChCnj+bimise+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+bimise+VII+Cnj+Pos+Neu+0SgSubj', 'bimise+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': 'ishpiming', 'fst_analyses': ['ishpiming+ADVLoc']}, {'word_form': '.', 'fst_analyses': []}]
Biite gizhibaayaaboode naawi-baawitig.	The foam eddies around in the middle of the rapids.	nj	[{'word_form': 'biite', 'fst_analyses': ['biite+NI+Sg']}, {'word_form': 'gizhibaayaaboode', 'fst_analyses': ['gizhibaayaaboode+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'naawi-baawitig', 'fst_analyses': ['PNLex/naawi+baawitig+NI+Sg', 'naawi-baawitig+ADVLoc']}, {'word_form': '.', 'fst_analyses': []}]
Niinawind iko nimaamaayiban ngii-chiiga'amegwemin.	It was my mother and I who used to scale the fish.	rg	"[{'word_form': 'niinawind', 'fst_analyses': ['niinawind+PRONPer+NA+Excl']}, {'word_form': 'iko', 'fst_analyses': ['iko+PCAsp']}, {'word_form': 'nimaamaayiban', 'fst_analyses': ['maamaay+NAD+Pret+ProxSg+1SgPoss']}, {'word_form': ""ngii-chiiga'amegwemin"", 'fst_analyses': [""PVTense/gii+jiiga'amegwe+VAI+Ind+Pos+Neu+ExclSubj""]}, {'word_form': '.', 'fst_analyses': []}]"
Aaniin epiitagoojing.	How high does it (animate) hang?	nj	[{'word_form': 'aaniin', 'fst_analyses': ['aaniin+ADVInter', 'aaniin+PCInterj']}, {'word_form': 'epiitagoojing', 'fst_analyses': ['ChCnj+apiitagoojin+VAI+Cnj+Pos+Neu+3SgProxSubj', 'apiitagoojin+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]
Badakakiise mookomaan gii-apagidooyaan. Gegoo wii'-minose.	The knife sticks in the ground when I throw it. There's going to be good luck.	nj	"[{'word_form': 'badakakiise', 'fst_analyses': ['badakakiise+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'mookomaan', 'fst_analyses': ['mookomaan+NI+Sg']}, {'word_form': 'gii-apagidooyaan', 'fst_analyses': ['PVTense/gii+apagidoon+VTI+Cnj+Pos+Neu+1SgSubj+0SgObj', 'PVTense/gii+apagidoon+VTI+Cnj+Pos+Neu+1SgSubj+0PlObj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gegoo', 'fst_analyses': ['gegoo+PRONIndf+NI']}, {'word_form': ""wii'-minose"", 'fst_analyses': [""PVTense/wii'+minose+VAI+Ind+Pos+Neu+3SgProxSubj"", ""PVTense/wii'+minose+VII+Ind+Pos+Neu+0SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]"
Aana-onji'agwaa igiw abinoojiinyag, onjida miigaadiwaad.	Although I told the kids not to, they keep on fighting.	rg	"[{'word_form': ""aana-onji'agwaa"", 'fst_analyses': [""PVTense/aana+onji'+VTA+Cnj+Pos+Neu+1SgSubj+3PlProxObj""]}, {'word_form': 'igiw', 'fst_analyses': ['igiw+PRONDem+NA+ProxPl']}, {'word_form': 'abinoojiinyag', 'fst_analyses': ['abinoojiinh+NA+ProxPl']}, {'word_form': ',', 'fst_analyses': []}, {'word_form': 'onjida', 'fst_analyses': ['onjida+ADVMan']}, {'word_form': 'miigaadiwaad', 'fst_analyses': ['miigaadiwag+VAI+Cnj+Pos+Neu+3PlProxSubj+3PlProxObj']}, {'word_form': '.', 'fst_analyses': []}]"
Bemijigamaag indaana-gii-izhaa andawanokiiyaan.	I went to Bemidji to look for a job (but...).	es	[{'word_form': 'bemijigamaag', 'fst_analyses': []}, {'word_form': 'indaana-gii-izhaa', 'fst_analyses': ['PVTense/aana+PVTense/gii+izhaa+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': 'andawanokiiyaan', 'fst_analyses': ['andawanokii+VAI+Cnj+Pos+Neu+1SgSubj', 'nandawanokii+VAI+Cnj+Pos+Neu+1SgSubj']}, {'word_form': '.', 'fst_analyses': []}]
Aana-wii-koji'aa ji-anokaadang.	They're going to try her to work on it.	nj	"[{'word_form': ""aana-wii-koji'aa"", 'fst_analyses': [""PVTense/aana+PVTense/wii+goji'+VTA+Ind+Pos+Neu+XSubj+3SgProxObj""]}, {'word_form': 'ji-anokaadang', 'fst_analyses': ['PVTense/ga+anokaadan+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'PVTense/ga+anokaadan+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj', 'PVTense/daa+anokaadan+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'PVTense/daa+anokaadan+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj']}, {'word_form': '.', 'fst_analyses': []}]"
Ozaasagokwaanaan iniw opiniin awe nookomis.	My grandmother is frying potatoes.	es	[{'word_form': 'ozaasagokwaanaan', 'fst_analyses': ['zaasagokwaazh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'zaasagokwaazh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NA+ObvPl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NI+Pl']}, {'word_form': 'opiniin', 'fst_analyses': ['opin+NA+ObvSg', 'opin+NA+ObvPl']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'nookomis', 'fst_analyses': ['ookomis+NAD+ProxSg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}]
Niwii-saasagokwaanaa giikanaamozigan.	I'm going to fry bacon.	rg	[{'word_form': 'niwii-saasagokwaanaa', 'fst_analyses': ['PVTense/wii+zaasagokwaazh+VTA+Ind+Pos+Neu+1SgSubj+3SgProxObj']}, {'word_form': 'giikanaamozigan', 'fst_analyses': ['giikanaamozigan+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]
Miiwan onowe.	These are the ones.	nj	[{'word_form': 'miiwan', 'fst_analyses': ['miiwan+ADVPred']}, {'word_form': 'onowe', 'fst_analyses': ['onowe+PRONDem+NA+ObvPl', 'onowe+PRONDem+NA+ObvSg', 'onowe+PRONDem+NI+Pl']}, {'word_form': '.', 'fst_analyses': []}]
Ondaasikana maa gii-pakebizo.	He drove off the road on this side.	gh	[{'word_form': 'ondaasikana', 'fst_analyses': ['ondaasikana+ADVLoc']}, {'word_form': 'maa', 'fst_analyses': ['maa+ADVLoc']}, {'word_form': 'gii-pakebizo', 'fst_analyses': ['PVTense/gii+bakebizo+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Giga-wanishin giishpin banitawad imaa ge-onji-bakebizoyan.	You''ll be lost if you misunderstand where to turn off.	nj	[{'word_form': 'giga-wanishin', 'fst_analyses': ['PVTense/ga+wanishin+VAI+Ind+Pos+Neu+2SgSubj']}, {'word_form': 'giishpin', 'fst_analyses': ['giishpin+ADVGram']}, {'word_form': 'banitawad', 'fst_analyses': ['banitaw+VTA+Cnj+Pos+Neu+2SgSubj+3SgProxObj']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'ge-onji-bakebizoyan', 'fst_analyses': ['ChCnj+PVTense/daa+PVRel/onji+bakebizo+VAI+Cnj+Pos+Neu+2SgSubj', 'ChCnj+PVTense/ga+PVRel/onji+bakebizo+VAI+Cnj+Pos+Neu+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}]
Gii-pinigwaashkoni jibwaa-bakebizod.	S/he jumped off before s/he went off the road.	nj	[{'word_form': 'gii-pinigwaashkoni', 'fst_analyses': ['PVTense/gii+binigwaashkoni+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'jibwaa-bakebizod', 'fst_analyses': ['PVTense/jibwaa+bakebizo+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Mii awe ge-biinjwebinigetamowindiban menogaabawid omaa ayaaying.	That is the one that should be elected because of his good standing in our community.	es	[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'ge-biinjwebinigetamowindiban', 'fst_analyses': []}, {'word_form': 'menogaabawid', 'fst_analyses': ['ChCnj+minogaabawi+VAI+Cnj+Pos+Neu+3SgProxSubj', 'minogaabawi+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': 'ayaaying', 'fst_analyses': ['ayaa+VAI+Cnj+Pos+Neu+InclSubj']}, {'word_form': '.', 'fst_analyses': []}]
Gaawiin igo minogaabawisii 'aw ogichidaa; onzaam zhaagode'e.	The warrior's not in good standing because he's too weak.	es	"[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'igo', 'fst_analyses': ['igo+PCEmph']}, {'word_form': 'minogaabawisii', 'fst_analyses': ['minogaabawi+VAI+Ind+Neg+Neu+3SgProxSubj']}, {'word_form': ""'aw"", 'fst_analyses': [""'aw+PRONDem+NA+ProxSg""]}, {'word_form': 'ogichidaa', 'fst_analyses': ['ogichidaa+NA+ProxSg']}, {'word_form': ';', 'fst_analyses': []}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': ""zhaagode'e"", 'fst_analyses': [""zhaagode'e+VAI+Ind+Pos+Neu+3SgProxSubj""]}, {'word_form': '.', 'fst_analyses': []}]"
Dabasaanakwadook oboonitoon ataagewin.	Dabasaanakwadook is quitting gambling.	nj	[{'word_form': 'dabasaanakwadook', 'fst_analyses': []}, {'word_form': 'oboonitoon', 'fst_analyses': ['boonitoon+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'ataagewin', 'fst_analyses': ['ataagewin+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]
Boonitoon apane nebaajiikaman minikwewinish.	Why don't you quit that alcohol you 're abusing all the time?	es	[{'word_form': 'boonitoon', 'fst_analyses': ['boonitoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'boonitoon+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'apane', 'fst_analyses': ['apane+ADVTmp']}, {'word_form': 'nebaajiikaman', 'fst_analyses': []}, {'word_form': 'minikwewinish', 'fst_analyses': ['minikwewin+NI+Pej+Sg']}, {'word_form': '.', 'fst_analyses': []}]
Niwii-poonitoon minikweyaan ow zhingobaaboo.	I'm going to quit drinking beer.	ls	[{'word_form': 'niwii-poonitoon', 'fst_analyses': ['PVTense/wii+boonitoon+VTI+Ind+Pos+Neu+1SgSubj+0SgObj']}, {'word_form': 'minikweyaan', 'fst_analyses': ['minikwen+VAIO+Cnj+Pos+Neu+1SgSubj', 'minikwen+VAIO+Cnj+Pos+Neu+1SgSubj+3PlProxObj', 'minikwen+VAIO+Cnj+Pos+Neu+1SgSubj+3SgProxObj', 'minikwen+VAIO+Cnj+Pos+Neu+1SgSubj+0SgObj', 'minikwen+VAIO+Cnj+Pos+Neu+1SgSubj+0PlObj', 'minikwe+VAI+Cnj+Pos+Neu+1SgSubj']}, {'word_form': 'ow', 'fst_analyses': ['ow+PRONDem+NI+Sg']}, {'word_form': 'zhingobaaboo', 'fst_analyses': ['zhingobaaboo+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]
Ogii-paashkisidoon iniw waawanoon gaa-paninang.	He broke the eggs he dropped.	es	[{'word_form': 'ogii-paashkisidoon', 'fst_analyses': ['PVTense/gii+baashkisidoon+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NA+ObvPl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NI+Pl']}, {'word_form': 'waawanoon', 'fst_analyses': ['waawan+NI+Pl']}, {'word_form': 'gaa-paninang', 'fst_analyses': ['ChCnj+PVTense/gii+baninan+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'ChCnj+PVTense/gii+baninan+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj', 'ChCnj+PVTense/gii+banin+VTA+Cnj+Pos+Neu+InclSubj+3SgProxObj']}, {'word_form': '.', 'fst_analyses': []}]
Ozaawadaawangad makade-mashkikiwaabo.	(Ground) coffee is brown.	nj	[{'word_form': 'ozaawadaawangad', 'fst_analyses': ['ozaawadaawangad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'makade-mashkikiwaabo', 'fst_analyses': ['makade-mashkikiwaabo+NI+Sg', 'PNLex/makade+mashkikiwaabo+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]
Giimooj igo niwii-wiindamawaa 'a mindimooyenh.	I'm going to tell the old lady secretly.	lw	"[{'word_form': 'giimooj', 'fst_analyses': ['giimooj+ADVMan']}, {'word_form': 'igo', 'fst_analyses': ['igo+PCEmph']}, {'word_form': 'niwii-wiindamawaa', 'fst_analyses': ['PVTense/wii+wiindamaw+VTA+Ind+Pos+Neu+1SgSubj+3SgProxObj']}, {'word_form': ""'a"", 'fst_analyses': [""'a+PRONDem+NA+ProxSg""]}, {'word_form': 'mindimooyenh', 'fst_analyses': ['mindimooyenh+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]"
Giimooj ogaganoonaan.	He whispered to her.	nj	[{'word_form': 'giimooj', 'fst_analyses': ['giimooj+ADVMan']}, {'word_form': 'ogaganoonaan', 'fst_analyses': ['gaganoozh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'gaganoozh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': '.', 'fst_analyses': []}]
Giimooj oodenaang niwii-izhaa.	I'm going to sneak off to town.	gh	[{'word_form': 'giimooj', 'fst_analyses': ['giimooj+ADVMan']}, {'word_form': 'oodenaang', 'fst_analyses': ['oodena+NI+Loc']}, {'word_form': 'niwii-izhaa', 'fst_analyses': ['PVTense/wii+izhaa+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': '.', 'fst_analyses': []}]
"Waakaa'igewininiwag gekinoo'amawindwaa ezhigiizhwewaad ""ninitaawichigemin""."	"The carpenter trainees said ""We know how to do it."""	es	"[{'word_form': ""waakaa'igewininiwag"", 'fst_analyses': [""waakaa'igewinini+NA+ProxPl""]}, {'word_form': ""gekinoo'amawindwaa"", 'fst_analyses': [""ChCnj+gikinoo'amaw+VTA+Cnj+Pos+Neu+XSubj+3PlProxObj""]}, {'word_form': 'ezhigiizhwewaad', 'fst_analyses': ['ChCnj+izhigiizhwe+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '""', 'fst_analyses': []}, {'word_form': 'ninitaawichigemin', 'fst_analyses': ['nitaawichige+VAI+Ind+Pos+Neu+ExclSubj']}, {'word_form': '""', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Ningizibiiginaan i'iw onaagan. Wiinad.	I'm washing this cup. It's dirty.	rg	"[{'word_form': 'ningizibiiginaan', 'fst_analyses': []}, {'word_form': ""i'iw"", 'fst_analyses': [""i'iw+PRONDem+NI+Sg""]}, {'word_form': 'onaagan', 'fst_analyses': ['onaagan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'wiinad', 'fst_analyses': ['wiinzh+VTA+Cnj+Pos+Neu+2SgSubj+3SgProxObj', 'wiinad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Atoon daga iniw onaaganan imaa ataasowining.	Please put the dishes in the cupboard.	rg	[{'word_form': 'atoon', 'fst_analyses': ['atoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'atoon+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'daga', 'fst_analyses': ['daga+PCDisc']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NA+ObvPl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NI+Pl']}, {'word_form': 'onaaganan', 'fst_analyses': ['onaagan+NI+Pl']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'ataasowining', 'fst_analyses': ['ataasowin+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]
Ningiziibiiginaanan onaaganan jibwaa-agwaakadodeg wiisiniwin.	I'm washing the dishes before the food sticks to them.	nj	[{'word_form': 'ningiziibiiginaanan', 'fst_analyses': ['giziibiiginan+VTI+Ind+Pos+Neu+1SgSubj+0PlObj']}, {'word_form': 'onaaganan', 'fst_analyses': ['onaagan+NI+Pl']}, {'word_form': 'jibwaa-agwaakadodeg', 'fst_analyses': []}, {'word_form': 'wiisiniwin', 'fst_analyses': ['wiisiniwin+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]
Nindagwii gaa-waakaa'igewaad.	I am among the carpenters.	nj	"[{'word_form': 'nindagwii', 'fst_analyses': ['agwii+VAI+Ind+Pos+Neu+1SgSubj', 'agwiin+VAIO+Ind+Pos+Neu+1SgSubj', 'dagwii+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': ""gaa-waakaa'igewaad"", 'fst_analyses': [""ChCnj+PVTense/gii+waakaa'ige+VAI+Cnj+Pos+Neu+3PlProxSubj"", ""PVSub/gaa+waakaa'ige+VAI+Cnj+Pos+Neu+3PlProxSubj""]}, {'word_form': '.', 'fst_analyses': []}]"
Aandi endanitaagozid gaa-biibaagid.	Which way is the yelling coming from?	nj	[{'word_form': 'aandi', 'fst_analyses': ['aandi+ADVInter']}, {'word_form': 'endanitaagozid', 'fst_analyses': ['ChCnj+danitaagozi+VAI+Cnj+Pos+Neu+3SgProxSubj', 'danitaagozi+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': 'gaa-biibaagid', 'fst_analyses': ['ChCnj+PVTense/gii+biibaagi+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+biibaagi+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead', 'PVSub/gaa+biibaagi+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Niningwaagone'aan niwanii'igan.	I cover my trap with snow.	nj	"[{'word_form': ""niningwaagone'aan"", 'fst_analyses': [""ningwaagone'an+VTI+Ind+Pos+Neu+1SgSubj+0SgObj""]}, {'word_form': ""niwanii'igan"", 'fst_analyses': [""wanii'igan+NI+Sg+1SgPoss""]}, {'word_form': '.', 'fst_analyses': []}]"
Naawaajiwan badakidewan giwanii'iganan.	Your traps are in middle of the overflow.	nj	"[{'word_form': 'naawaajiwan', 'fst_analyses': ['naawaajiwan+ADVLoc']}, {'word_form': 'badakidewan', 'fst_analyses': ['badakide+VII+Ind+Pos+Neu+0PlSubj']}, {'word_form': ""giwanii'iganan"", 'fst_analyses': [""wanii'igan+NI+Pl+2SgPoss""]}, {'word_form': '.', 'fst_analyses': []}]"
Weweni go dadaakokiin. Anooj igo inakamigaa.	Tread very carefully, The ground is rough.	es	[{'word_form': 'weweni', 'fst_analyses': ['weweni+ADVMan']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'dadaakokiin', 'fst_analyses': ['dadaakokii+VAI+Imp+Sim+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'anooj', 'fst_analyses': ['anooj+ADVQnt']}, {'word_form': 'igo', 'fst_analyses': ['igo+PCEmph']}, {'word_form': 'inakamigaa', 'fst_analyses': ['inakamigaa+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]
Aaniin enakamigaag.	What is the ground like?	nj	[{'word_form': 'aaniin', 'fst_analyses': ['aaniin+ADVInter', 'aaniin+PCInterj']}, {'word_form': 'enakamigaag', 'fst_analyses': ['ChCnj+inakamigaa+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+inakamigaa+VII+Cnj+Pos+Neu+0SgSubj', 'inakamigaa+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]
Aaniin ezhi-wiindemagak i'iw oodena.	What's that town called?	rg	"[{'word_form': 'aaniin', 'fst_analyses': ['aaniin+ADVInter', 'aaniin+PCInterj']}, {'word_form': 'ezhi-wiindemagak', 'fst_analyses': ['ChCnj+izhi-wiinde+VII+Aug/magad+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+izhi-wiinde+VII+Aug/magad+VII+Cnj+Pos+Neu+0SgSubj', 'ChCnj+PVRel/izhi+wiinde+VII+Aug/magad+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+PVRel/izhi+wiinde+VII+Aug/magad+VII+Cnj+Pos+Neu+0SgSubj', 'izhi-wiinde+VII+Aug/magad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'PVRel/izhi+wiinde+VII+Aug/magad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': ""i'iw"", 'fst_analyses': [""i'iw+PRONDem+NI+Sg""]}, {'word_form': 'oodena', 'fst_analyses': ['oodena+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
